Datasets,num_shots,Normal_acc,Calibrated_acc
sst2,0,0.6133333333333333,0.6066666666666667
sst2,2,0.49333333333333335,0.4533333333333333
sst2,4,0.49333333333333335,0.49666666666666665
sst2,6,0.5,0.49666666666666665
sst2,8,0.49666666666666665,0.49666666666666665
agnews,0,0.4533333333333333,0.4666666666666667
agnews,2,0.24333333333333335,0.25
agnews,4,0.26,0.41
agnews,6,0.27666666666666667,0.47333333333333333
agnews,8,0.27,0.43
dbpedia,0,0.23,0.24
dbpedia,2,0.25333333333333335,0.62
dbpedia,4,0.17,0.6033333333333334
dbpedia,6,0.26666666666666666,0.4866666666666667
dbpedia,8,0.19666666666666666,0.4633333333333333
banking,0,0.08666666666666667,0.12
banking,2,0.07,0.16333333333333333
banking,4,0.07333333333333333,0.21666666666666667
banking,6,0.13666666666666666,0.19666666666666666
banking,8,0.09666666666666666,0.19666666666666666
