n_layer_freezed,name,ratio_layer_freezed,time_taken_5s,accuracy_5s,time_taken_10s,accuracy_10s
None,No freezing,0.0,413.5292296409607,0.775,879.7832770347595,0.8623376623376623
4,Before 1st layer,0.313,375.9505925178528,0.777,859.5331385135651,0.8590909090909091
20,1st layer,0.37,363.6379020214081,0.759,827.4812548160553,0.8493506493506493
36,2nd layer,0.426,351.29441928863525,0.788,795.0896415710449,0.8714285714285714
52,3rd layer,0.483,338.5615634918213,0.781,758.2162621021271,0.8668831168831169
68,4th layer,0.54,325.7249562740326,0.777,725.6231160163879,0.8694805194805195
84,5th layer,0.597,313.88916540145874,0.779,693.7476725578308,0.8668831168831169
100,6th layer,0.654,301.69031953811646,0.792,659.5719082355499,0.8727272727272727
116,7th layer,0.711,289.2244601249695,0.784,626.5957667827606,0.8681818181818182
132,8th layer,0.767,277.4250910282135,0.792,587.9743640422821,0.8675324675324675
148,9th layer,0.824,264.4985542297363,0.794,558.2063310146332,0.8642857142857143
164,10th layer,0.881,252.85830545425415,0.799,520.4980635643005,0.8564935064935065
180,11th layer,0.938,240.60865211486816,0.787,487.87593054771423,0.8474025974025974
196,12th layer,0.995,228.5723912715912,0.634,450.7413728237152,0.6525974025974026
198,Classifier,1.0,226.7263069,0.497,444.5285907,0.4993506494
